date,close,high,low,open
2002/1/4,1316.46,1316.46,1316.46,1316.46
2002/1/7,1302.08,1302.08,1302.08,1302.08
2002/1/8,1292.71,1292.71,1292.71,1292.71
2002/1/9,1272.65,1272.65,1272.65,1272.65
2002/1/10,1281.26,1281.26,1281.26,1281.26
2002/1/11,1249.81,1249.81,1249.81,1249.81
2002/1/14,1205.15,1205.15,1205.15,1205.15
2002/1/15,1186.43,1186.43,1186.43,1186.43
2002/1/16,1201.88,1201.88,1201.88,1201.88
2002/1/17,1152.15,1152.15,1152.15,1152.15
2002/1/18,1149.48,1149.48,1149.48,1149.48
2002/1/21,1108.61,1108.61,1108.61,1108.61
2002/1/22,1109.99,1109.99,1109.99,1109.99
2002/1/23,1183.15,1183.15,1183.15,1183.15
2002/1/24,1189.58,1189.58,1189.58,1189.58
2002/1/25,1189.43,1189.43,1189.43,1189.43
2002/1/28,1112.83,1112.83,1112.83,1112.83
2002/1/29,1140.38,1140.38,1140.38,1140.38
2002/1/30,1145.86,1145.86,1145.86,1145.86
2002/1/31,1221.76,1221.76,1221.76,1221.76
2002/2/1,1215.74,1215.74,1215.74,1215.74
2002/2/4,1236.97,1236.97,1236.97,1236.97
2002/2/5,1246.84,1246.84,1246.84,1246.84
2002/2/6,1216.79,1216.79,1216.79,1216.79
2002/2/7,1241.02,1241.02,1241.02,1241.02
2002/2/8,1235.09,1235.09,1235.09,1235.09
2002/2/25,1254.61,1254.61,1254.61,1254.61
2002/2/26,1253.12,1253.12,1253.12,1253.12
2002/2/27,1256,1256,1256,1256
2002/2/28,1244.6,1244.6,1244.6,1244.6
2002/3/1,1227.23,1227.23,1227.23,1227.23
2002/3/4,1245.87,1245.87,1245.87,1245.87
2002/3/5,1275.61,1275.61,1275.61,1275.61
2002/3/6,1288.44,1288.44,1288.44,1288.44
2002/3/7,1328.39,1328.39,1328.39,1328.39
2002/3/8,1351.85,1351.85,1351.85,1351.85
2002/3/11,1377.04,1377.04,1377.04,1377.04
2002/3/12,1362.4,1362.4,1362.4,1362.4
2002/3/13,1343.14,1343.14,1343.14,1343.14
2002/3/14,1376.33,1376.33,1376.33,1376.33
2002/3/15,1338.7,1338.7,1338.7,1338.7
2002/3/18,1341.91,1341.91,1341.91,1341.91
2002/3/19,1368.38,1368.38,1368.38,1368.38
2002/3/20,1382.42,1382.42,1382.42,1382.42
2002/3/21,1385.79,1385.79,1385.79,1385.79
2002/3/22,1369.9,1369.9,1369.9,1369.9
2002/3/25,1373.01,1373.01,1373.01,1373.01
2002/3/26,1350.01,1350.01,1350.01,1350.01
2002/3/27,1354.1,1354.1,1354.1,1354.1
2002/3/28,1352.53,1352.53,1352.53,1352.53
2002/3/29,1313.47,1313.47,1313.47,1313.47
2002/4/1,1317.58,1317.58,1317.58,1317.58
2002/4/2,1296.57,1296.57,1296.57,1296.57
2002/4/3,1302.25,1302.25,1302.25,1302.25
2002/4/4,1337.73,1337.73,1337.73,1337.73
2002/4/5,1332.2,1332.2,1332.2,1332.2
2002/4/8,1333.71,1333.71,1333.71,1333.71
2002/4/9,1357.74,1357.74,1357.74,1357.74
2002/4/10,1366.72,1366.72,1366.72,1366.72
2002/4/11,1344.73,1344.73,1344.73,1344.73
2002/4/12,1350.69,1350.69,1350.69,1350.69
2002/4/15,1344.58,1344.58,1344.58,1344.58
2002/4/16,1341.5,1341.5,1341.5,1341.5
2002/4/17,1341.77,1341.77,1341.77,1341.77
2002/4/18,1326.55,1326.55,1326.55,1326.55
2002/4/19,1330.64,1330.64,1330.64,1330.64
2002/4/22,1324.87,1324.87,1324.87,1324.87
2002/4/23,1318.66,1318.66,1318.66,1318.66
2002/4/24,1309.73,1309.73,1309.73,1309.73
2002/4/25,1312.48,1312.48,1312.48,1312.48
2002/4/26,1331.71,1331.71,1331.71,1331.71
2002/4/29,1349.79,1349.79,1349.79,1349.79
2002/4/30,1353.61,1353.61,1353.61,1353.61
2002/5/8,1342.29,1342.29,1342.29,1342.29
2002/5/9,1344.78,1344.78,1344.78,1344.78
2002/5/10,1335.45,1335.45,1335.45,1335.45
2002/5/13,1319.81,1319.81,1319.81,1319.81
2002/5/14,1311.68,1311.68,1311.68,1311.68
2002/5/15,1300.12,1300.12,1300.12,1300.12
2002/5/16,1261.52,1261.52,1261.52,1261.52
2002/5/17,1277.24,1277.24,1277.24,1277.24
2002/5/20,1258.83,1258.83,1258.83,1258.83
2002/5/21,1298.88,1298.88,1298.88,1298.88
2002/5/22,1280.16,1280.16,1280.16,1280.16
2002/5/23,1284.84,1284.84,1284.84,1284.84
2002/5/24,1265.97,1265.97,1265.97,1265.97
2002/5/27,1270.34,1270.34,1270.34,1270.34
2002/5/28,1270.38,1270.38,1270.38,1270.38
2002/5/29,1246.02,1246.02,1246.02,1246.02
2002/5/30,1245.89,1245.89,1245.89,1245.89
2002/5/31,1238.58,1238.58,1238.58,1238.58
2002/6/3,1213.39,1213.39,1213.39,1213.39
2002/6/4,1219.52,1219.52,1219.52,1219.52
2002/6/5,1196.62,1196.62,1196.62,1196.62
2002/6/6,1245.61,1245.61,1245.61,1245.61
2002/6/7,1252.51,1252.51,1252.51,1252.51
2002/6/10,1243.74,1243.74,1243.74,1243.74
2002/6/11,1252.85,1252.85,1252.85,1252.85
2002/6/12,1246.84,1246.84,1246.84,1246.84
2002/6/13,1235.57,1235.57,1235.57,1235.57
2002/6/14,1222.12,1222.12,1222.12,1222.12
2002/6/17,1224.65,1224.65,1224.65,1224.65
2002/6/18,1248.84,1248.84,1248.84,1248.84
2002/6/19,1236.05,1236.05,1236.05,1236.05
2002/6/20,1245.08,1245.08,1245.08,1245.08
2002/6/21,1288.52,1288.52,1288.52,1288.52
2002/6/24,1409.51,1409.51,1409.51,1409.51
2002/6/25,1409.23,1409.23,1409.23,1409.23
2002/6/26,1417.31,1417.31,1417.31,1417.31
2002/6/27,1422.51,1422.51,1422.51,1422.51
2002/6/28,1431.18,1431.18,1431.18,1431.18
2002/7/1,1415.33,1415.33,1415.33,1415.33
2002/7/2,1425.81,1425.81,1425.81,1425.81
2002/7/3,1427.39,1427.39,1427.39,1427.39
2002/7/4,1412.62,1412.62,1412.62,1412.62
2002/7/5,1415.4,1415.4,1415.4,1415.4
2002/7/8,1423.7,1423.7,1423.7,1423.7
2002/7/9,1419.47,1419.47,1419.47,1419.47
2002/7/10,1392.9,1392.9,1392.9,1392.9
2002/7/11,1390.93,1390.93,1390.93,1390.93
2002/7/12,1389.45,1389.45,1389.45,1389.45
2002/7/15,1379.38,1379.38,1379.38,1379.38
2002/7/16,1382.41,1382.41,1382.41,1382.41
2002/7/17,1393.02,1393.02,1393.02,1393.02
2002/7/18,1397.41,1397.41,1397.41,1397.41
2002/7/19,1403.25,1403.25,1403.25,1403.25
2002/7/22,1380.28,1380.28,1380.28,1380.28
2002/7/23,1375.61,1375.61,1375.61,1375.61
2002/7/24,1372.89,1372.89,1372.89,1372.89
2002/7/25,1365,1365,1365,1365
2002/7/26,1361.41,1361.41,1361.41,1361.41
2002/7/29,1368.8,1368.8,1368.8,1368.8
2002/7/30,1371.91,1371.91,1371.91,1371.91
2002/7/31,1358.16,1358.16,1358.16,1358.16
2002/8/1,1355.3,1355.3,1355.3,1355.3
2002/8/2,1359.99,1359.99,1359.99,1359.99
2002/8/5,1353.48,1353.48,1353.48,1353.48
2002/8/6,1368.99,1368.99,1368.99,1368.99
2002/8/7,1366.8,1366.8,1366.8,1366.8
2002/8/8,1359.68,1359.68,1359.68,1359.68
2002/8/9,1350.31,1350.31,1350.31,1350.31
2002/8/12,1340.22,1340.22,1340.22,1340.22
2002/8/13,1342.36,1342.36,1342.36,1342.36
2002/8/14,1351.51,1351.51,1351.51,1351.51
2002/8/15,1340.97,1340.97,1340.97,1340.97
2002/8/16,1349.62,1349.62,1349.62,1349.62
2002/8/19,1347.16,1347.16,1347.16,1347.16
2002/8/20,1370.05,1370.05,1370.05,1370.05
2002/8/21,1370.96,1370.96,1370.96,1370.96
2002/8/22,1381.55,1381.55,1381.55,1381.55
2002/8/23,1379.42,1379.42,1379.42,1379.42
2002/8/26,1366.18,1366.18,1366.18,1366.18
2002/8/27,1369.76,1369.76,1369.76,1369.76
2002/8/28,1368.4,1368.4,1368.4,1368.4
2002/8/29,1362.67,1362.67,1362.67,1362.67
2002/8/30,1361.3,1361.3,1361.3,1361.3
2002/9/2,1362.15,1362.15,1362.15,1362.15
2002/9/3,1366.71,1366.71,1366.71,1366.71
2002/9/4,1358.78,1358.78,1358.78,1358.78
2002/9/5,1341.47,1341.47,1341.47,1341.47
2002/9/6,1334.34,1334.34,1334.34,1334.34
2002/9/9,1323.13,1323.13,1323.13,1323.13
2002/9/10,1324.21,1324.21,1324.21,1324.21
2002/9/11,1319.03,1319.03,1319.03,1319.03
2002/9/12,1322.23,1322.23,1322.23,1322.23
2002/9/13,1321.81,1321.81,1321.81,1321.81
2002/9/16,1302.62,1302.62,1302.62,1302.62
2002/9/17,1304.38,1304.38,1304.38,1304.38
2002/9/18,1295.56,1295.56,1295.56,1295.56
2002/9/19,1319.82,1319.82,1319.82,1319.82
2002/9/20,1305.75,1305.75,1305.75,1305.75
2002/9/23,1304.92,1304.92,1304.92,1304.92
2002/9/24,1299.19,1299.19,1299.19,1299.19
